ID,英文名,中文名,描述(英),描述(中),尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),图标,卡包ID,生成资格,多重施放
3510040e-9d43-4e2a-867e-96cc6740a139,Improvised Weaponry,临时军火,"When you Crit, your Weapons gain 5/10/15 Damage for the fight.",造成暴击时，己方武器伤害提高5/10/15（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Mak / 马克 | Jules / 朱尔斯,Weapon / 武器,DamageRef / 伤害引用 | CritRef / 暴击引用,Icon_Skill_ImprovisedWeaponry.png,,,0
5f63004e-26dd-460d-b359-38a84ffa66c1,Protein Powder,蛋白粉,"When you buy Food, gain 20/30/40/50 Max Health.",购买食物时，最大生命值提高20/30/40/50。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Jules / 朱尔斯,Food / 食物,Health / 生命值,Icon_Skill_JUL_ProteinPower,,,0
71433809-d05a-4544-9959-aff20ae5db93,Iron Sharpens Iron,锋铁共鸣,"Your leftmost Weapon has +3 Damage. When you buy a Weapon, this gains +3/4/5 damage bonus.",最左侧武器+3伤害。购买武器时，这一伤害加成再提高+3/4/5。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Pygmalien / 皮格马利翁 | Jules / 朱尔斯 | Mak / 马克 | Dooley / 杜利 | Stelle / 斯黛拉,Weapon / 武器,DamageRef / 伤害引用,Icon_Skill_IronSharpensIron.png,,,0
115c2677-6880-4400-af80-f5afa3d502fe,Defense Grid,防御网格,"The first time you use an item each fight, Shield equal to 10/15/20/25% of your Max Health. [0]",每场战斗首次使用物品时，获得护盾，等量于最大生命值的10/15/20/25%。[0],Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Dooley / 杜利 | Stelle / 斯黛拉 | Jules / 朱尔斯,,HealthRef / 生命值引用 | Shield / 护盾,Icon_Skill_DefenseGrid.png,,,0
c6619a2a-642e-4d2b-9008-2ad9ecb9c5cc,Virulent Toxins,,"The first 4/8/12 times you use a Relic each fight, Poison 5.",每场战斗前4/8/12次使用遗物时，造成5剧毒。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Mak / 马克,,Poison / 剧毒,Icon_Skill_MAK_ToxicRegeneration,,,0
c08396cd-ffc6-4b3f-86f8-18c053bee76f,Swole,,You have +Max Health equal to 1/2 times the Damage of your Weapons. [1/2],[未翻译],Medium / 中型,Gold / 黄金,Gold/Diamond,Pygmalien / 皮格马利翁,Weapon / 武器,Health / 生命值 | DamageRef / 伤害引用,Icon_Skill_Swole.png,,,0
2c637e34-ea4d-4532-9118-fddd9e637342,Improvised Heal,,"When you Crit, your Heal items gain +10/20/30 Heal for the fight.",[未翻译],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎,,HealRef / 治疗引用 | CritRef / 暴击引用,Icon_Skill_ImprovisedHealing.png,,,0
1e8293e9-c60f-464a-9d44-21e766978edc,Improvised Burn,临时灼烧,"When you Crit, your Burn items gain 1/2/3 Burn for the fight.",造成暴击时，灼烧物品的灼烧提高1/2/3（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Mak / 马克 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Dooley / 杜利,,BurnRef / 灼烧引用 | CritRef / 暴击引用,Icon_Skill_ImprovisedBurn.png,,,0
3dd2dbac-97ee-4fc4-ac31-4d885d19e2ed,CPU Throttling,CPU 降频,"The first 5/10 times you use a Core each fight, Slow an item for 2 second(s).",每场战斗前5/10次使用核心时，减速一件物品2秒。,Medium / 中型,Gold / 黄金,Gold/Diamond,Dooley / 杜利,Core / 核心,Slow / 减速,Icon_Skill_CPUThrotteling.png,,,0
0dd4d40e-ac14-4a57-8c7f-9d47a5bdd38a,Desperate Strike,绝望打击,"While you have less Health than your enemy, your items have +20/40/60% Crit Chance.",你的生命值低于敌方时，己方物品的暴击率 +20/40/60%。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,Crit / 暴击,Icon_Skill_DesperateStrike.png,,,0
19b74e9a-6723-4e94-a955-2c39ca48dbd0,Flamedancer,烈焰舞者,Your Burn items have +10/15/20/25% Crit Chance.,灼烧物品+10/15/20/25%暴击率。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,BurnRef / 灼烧引用 | Crit / 暴击,Icon_Skill_MON_FlameWall_01,,,0
dff033fb-0fd4-4ae9-a9c2-ed8a81657d08,Cash Deposits,现金存储,Your Weapons have + Damage equal to your Gold.,武器 + 伤害，增幅等于持有金币数量。,Medium / 中型,Diamond / 钻石,Diamond,Pygmalien / 皮格马利翁,Weapon / 武器,DamageRef / 伤害引用 | Gold / 金币,Icon_Skill_CashDeposits.png,,,0
d071e4de-f87f-41b5-b02d-d622e35c0b4d,Juggler,杂耍,"When you use a Small item, Charge a Large item for 1 second(s).",使用小型物品时，为一件大型物品充能1秒。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,,Charge / 充能,Icon_Skill_MON_TrashTitan_02.png,,,0
338b9fbe-0131-4d89-8661-13aa2dd0c9a1,Submerged,潜水,Your Weapons have +3/6/9 Damage for each Aquatic item you have. [3/6/9] | Your Shield items have +3/6/9 Shield for each Aquatic item you have. [3/6/9],每拥有一件水系物品，己方武器就+3/6/9伤害。[3/6/9] | 每拥有一件水系物品，就令护盾物品+3/6/9护盾值。[3/6/9],Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎,Weapon / 武器 | Aquatic / 水生,DamageRef / 伤害引用 | ShieldRef / 护盾引用,Icon_Skill_VAN_Submerged,,,0
13f4df45-8f29-4a48-8a2b-b8176e17c85d,Retaliatory Toxins,反击毒素,"The first 5/10 times an enemy uses an item each fight, Poison 5.",每场战斗中敌人前5/10次使用物品时，造成5剧毒。,Medium / 中型,Gold / 黄金,Gold/Diamond,Mak / 马克,,Poison / 剧毒,Icon_Skill_RetalitoryToxins.png,,,0
cb8e9ed1-764e-4fa5-a2b8-61c2eddcbf7e,Grease Fire,油火焰,"The first 4/8/12 times you use a Tool each fight, Burn 5.",每场战斗前4/8/12次使用工具时，造成5灼烧。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Pygmalien / 皮格马利翁,Tool / 工具,Burn / 灼烧,Icon_Skill_GreaseFire.png,,,0
c3f674a0-4025-45e1-b611-bf70fd6f279c,Lifting,举重,"Your Weapons have +1 Damage. When you buy a Weapon, this gains +1/2/3 Damage bonus.",武器+1伤害。购买武器时，这一伤害加成再提高+1/2/3。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Jules / 朱尔斯,Weapon / 武器,DamageRef / 伤害引用,Icon_Skill_Lifting.png,,,0
3b3b1f2b-7f43-440d-807b-61eea3a65cb0,Void Rage,虚空之怒,"When you Burn, Haste an item for 1 second.",触发灼烧时，加速一件物品1秒。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,,Haste / 加速 | BurnRef / 灼烧引用,Icon_Skill_MON_VoidRake.png,,,0
2df5681c-8c5c-400a-baa0-ad73391cc085,Flash Freeze,闪速冻结,Your Chilled items' Cooldowns are reduced by 1000 second.,霜冻物品的冷却时间缩短1000秒。,Medium / 中型,Diamond / 钻石,Diamond,Jules / 朱尔斯,,Cooldown / 冷却,Icon_Skill_JUL_FlashFreeze,,,0
c9c884fd-849e-4541-b770-4658c2e6e609,Foreboding Winds,凶风,Your Weapons deal double Crit Damage.,武器造成的暴击伤害翻倍。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,Weapon / 武器,CritRef / 暴击引用,Icon_Skill_MON_LordOfWastes_01.png,,,0
1d0b3080-14a8-41c5-9449-9b48f46d4726,Makeshift Plate,简易餐盘,"When you use a non-Shield item, your Shield items gain +2/4/6 Shield for the fight.",使用非护盾物品时，护盾物品的护盾提高+2/4/6（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁,,ShieldRef / 护盾引用,Icon_Skill_MakeshiftPlate.png,,,0
83cf85fa-f486-4486-ba76-c28f4db60677,Valley Fever,谷地热症,"At the start of each fight, Burn yourself 2.",每场战斗开始时，对自身造成2灼烧。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,,Burn / 灼烧,Icon_Skill_ConcentratedFlame.png,,,0
f9b262a7-73fc-43b0-ad69-da351e927829,First Degree Burns,,Your Small Burn items have +1/2/3/4 Burn.,[未翻译],Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,BurnRef / 灼烧引用,Icon_Skill_FirstDegreeBurn.png,,,0
f6a49c4a-7ee7-4aa7-8162-392eee2d3835,First Flames,初焰,"The first time you use a Large item each fight, Burn 20/40/60.",每场战斗首次使用大型物品时，造成20/40/60灼烧。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克 | Pygmalien / 皮格马利翁,,Burn / 灼烧,Icon_Skill_FirstFlames.png,,,0
ccb56c81-a3fb-4cd4-bf53-67b19a82458d,Reserve Collection,备用收藏,"The first time you fall below half Health each fight, use your Relics.",每场战斗己方生命值首次降至一半时，使用遗物。,Medium / 中型,Diamond / 钻石,Diamond,Mak / 马克,Relic / 神器,,Icon_Skill_MAK_ReserveCollection,,,0
cf20ff77-7f51-42ca-8451-a3a1befe3d66,Above the Clouds,云朵之上,Your items have +5/10% Crit Chance for each Flying item you have. [5/10],每拥有一件飞行物品，己方物品+5/10%暴击率。[5/10],Medium / 中型,Gold / 黄金,Gold/Diamond,Stelle / 斯黛拉,,Crit / 暴击 | FlyingRef / 飞行引用,Icon_Skill_STE_AboveTheClouds,,,0
760fd7aa-fce6-4779-818e-99ba51274010,Like Clockwork,有条不紊,Your leftmost item is a Tech.,最左侧物品视为科技。,Medium / 中型,Diamond / 钻石,Diamond,Dooley / 杜利,Tech / 科技,,Icon_Skill_DOO_LikeClockwork.png,,,0
0283b102-e0ef-4df4-b447-c5208049bf02,Buffed and Polished,抛光加持,Your Drones' and Tools' Cooldowns are reduced by 5/10%.,无人机与工具的冷却时间缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Stelle / 斯黛拉,Drone | Tool / 工具,Cooldown / 冷却,Icon_Skill_STE_BuffedAndPolished,,,0
813b4dd8-3fd3-4824-be6e-bce2b1f175a3,Sharpened Steel,钢铁磨砺,"When you use a Weapon, adjacent items gain 3/6/9/12% Crit Chance for the fight.",使用武器时，相邻物品暴击率提高3/6/9/12%（限本场战斗）。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Weapon / 武器,Crit / 暴击 | DamageRef / 伤害引用,Icon_Skill_MON_SharpenedSteel.png,,,0
5e4892b5-2be7-4552-9a72-5770785a733d,Table Setting,餐桌布置,Your leftmost Weapon has +25/50 Damage. | The Cooldown of your rightmost Weapon is reduced by 5/10%.,最左侧武器+25/50伤害。 | 最右侧武器的冷却时间缩短5/10%。,Medium / 中型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯,Weapon / 武器,DamageRef / 伤害引用 | Cooldown / 冷却,Icon_Skill_TableSetting.png,,,0
a9e56561-95d9-46c4-83e3-499e6b159013,Alacrity,灵动,"The first 5/10 times you Crit each fight, Charge an item 1 second(s).",每场战斗前5/10次暴击时，为一件物品充能1秒。,Medium / 中型,Gold / 黄金,Gold/Diamond,Vanessa / 凡妮莎 | Mak / 马克 | Jules / 朱尔斯 | Dooley / 杜利 | Stelle / 斯黛拉,,Charge / 充能 | CritRef / 暴击引用,Icon_Skill_Alacrity.png,,,0
c5ce101a-3af2-49ce-bcc9-42481355c58e,Follow-Up Care,跟进疗护,Your rightmost Heal item has +20/35/50/65 Heal.,最右侧的治疗物品+20/35/50/65治疗量。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁,,HealRef / 治疗引用,Icon_Skill_FollowUpCare.png,,,0
37efcae2-779d-4a60-95c6-0d663d7e0113,Double Down,双倍押注,"The first time you fall below half Health each fight, double the Damage of your leftmost Weapon for the fight.",每场战斗己方生命值首次降至一半时，最左侧武器的伤害翻倍（限本场战斗）。,Medium / 中型,Diamond / 钻石,Diamond,Vanessa / 凡妮莎 | Pygmalien / 皮格马利翁,Weapon / 武器,DamageRef / 伤害引用,Icon_Skill_DoubleDown.png,,,0
b57df6d6-fc6c-4401-ad41-77f83388eabe,Distributed Systems,分配系统,"When you use a Large item, Haste your Small items for 1 second.",使用大型物品时，加速所有小型物品1秒。,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,,Haste / 加速,Icon_Skill_DistributedSystems.png,,,0
b21d98f7-d677-4598-8b53-5bfd8301d26a,Petrifying Gaze,石化凝视,"The first time you fall below half Health each fight, Freeze all enemy items for 1/2/3 second(s).",每场战斗己方生命值首次降至一半时，冻结所有敌人物品1/2/3秒。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Common / 通用,,Freeze / 冻结 | HealthRef / 生命值引用,Icon_Skill_MON_PetrifyingGaze_01.png,,,0
f380f03c-3c71-4cae-b423-43fa31a5c3a3,Big Guns,巨炮,Double the Damage of your Large Weapons.,大型武器伤害翻倍。,Medium / 中型,Diamond / 钻石,Diamond,Dooley / 杜利 | Jules / 朱尔斯 | Vanessa / 凡妮莎 | Mak / 马克 | Pygmalien / 皮格马利翁 | Stelle / 斯黛拉,Weapon / 武器,DamageRef / 伤害引用,Icon_Skill_BigGuns.png,,,0
eea71cd9-2688-4c4d-99e7-6eee44cf47a2,Panic,恐慌,"The first time you fall below 50% Health each fight, Reload  item(s) and Charge  Ammo items 1 second.",每场战斗己方生命值首次降至50%时，装填件物品，并为件弹药物品充能1秒。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,Ammo / 弹药 | Charge / 充能,Icon_Skill_MON_DabblingApprentice_01.png,,,0
19c967e5-f4c0-4c11-bb96-aa039369600a,Large Appetites,胃口大开,"If you have 5 or fewer items, you have +500/1000/2000 Max Health.",如果持有的物品不超过5件，最大生命值+500/1000/2000。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克,,Health / 生命值,Icon_Skill_LargeAppetites.png,,,0
d675442d-7d59-4f13-9209-6e1a4ae7a1fc,Burning Rage,灼烧狂怒,"When you Burn, your Weapons gain +5/10/15/20 Damage for the fight.",触发灼烧时，己方武器伤害提高+5/10/15/20（限本场战斗）。,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Weapon / 武器,BurnRef / 灼烧引用 | DamageRef / 伤害引用,Icon_Skill_MON_DisdainForLife_01,,,0
1448f669-4c0f-4f86-a23c-00fb647b1153,Slowed Targets,减速目标,"When you Slow, your items gain +1/2/3% Crit Chance for the fight.",触发减速时，己方物品暴击率提高+1/2/3%（限本场战斗）。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Vanessa / 凡妮莎 | Mak / 马克 | Jules / 朱尔斯 | Stelle / 斯黛拉,,SlowRef / 减速引用 | Crit / 暴击,Icon_Skill_SlowedTargets.png,,,0
1c47afbe-2e26-4b63-b50c-1bff7d48b88b,Creeping Chill,暗袭寒流,"The first time you Slow each fight, Freeze an item for 2/3/4 second(s).",每场战斗首次触发减速时，冻结一件物品2/3/4秒。,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利 | Vanessa / 凡妮莎 | Mak / 马克 | Jules / 朱尔斯,,SlowRef / 减速引用 | Freeze / 冻结,Icon_Skill_CreepingChill.png,,,0
