ID,英文名,中文名,类型,尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),冷却(ms),伤害,治疗,护盾,购买价格,出售价格,技能1(英),技能1(中),技能2(英),技能2(中),技能3(英),技能3(中),Golden(黄金),Heavy(沉重),Icy(寒冰),Turbo(疾速),Shielded(护盾),Restorative(回复),Toxic(毒素),Fiery(炽焰),Shiny(闪亮),Deadly(致命),Radiant(辉耀),Obsidian(黑曜石)
f212afe2-08d1-40e3-978b-762d345bc7e5,Spare Change,零钱,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,EconomyRef / 经济引用,0,0,0,0,1,0,Sells for Gold,可出售换得金币,,,,,,,,,,,,,,,,
e01e1043-3417-40f6-953e-d6a7357f2168,Ulu Knife,乌鲁刀,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Jules / 朱尔斯,Weapon / 武器 | Tool / 工具,Damage / 伤害 | Crit / 暴击 | HasteRef / 加速引用,4000,10,0,0,0,0,Deal 10 Damage,造成10伤害,"When this is Hasted, this gains +10/15/20/25 Crit Chance for the fight.",此物品被加速时，暴击率提高+10/15/20/25（限本场战斗）。,,,此物品的价值翻倍。,减速一件物品2秒,冻结一件物品500秒,加速一件物品2秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品的暴击率加成翻倍。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
41dea658-7e38-471a-aa20-e018734526f0,Salamander Pup,火蜥幼兽,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Friend / 伙伴,Burn / 灼烧,8000,0,0,0,0,0,Burn 4/6/8/10,造成4/6/8/10灼烧,"When you sell this, your leftmost Burn item gains +2/4/8/16 Burn.",出售此物品时，最左侧灼烧物品的灼烧提高+2/4/8/16。,,,,减速2件物品3秒,冻结2件物品1秒,加速2件物品3秒,获得护盾，等量于此物品灼烧的5倍,获得治疗，等量于此物品灼烧的5倍,造成剧毒，等量于此物品灼烧,此物品的灼烧翻倍。,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品灼烧的5倍
2f4625b6-42e1-42e8-9f50-82edf038fac1,Dragon Heart,巨龙心,Item / 物品,Medium / 中型,Legendary / 传奇,Diamond/Legendary,Common / 通用,Dragon / 龙 | Relic / 遗物,BurnRef / 灼烧引用 | FlyingRef / 飞行引用,11000,0,0,0,0,0,Double the Burn of an item for the fight,一件物品的灼烧翻倍（限本场战斗）,"When you Burn or use a Flying item, Charge this 2 seconds.",触发灼烧或使用飞行物品时，为此物品充能2秒。,,,此物品的价值翻倍。,减速2件物品4秒,冻结2件物品1秒,加速2件物品4秒,获得25护盾,治疗25生命值,造成2剧毒,造成2灼烧,此物品+1多重触发。,灼烧物品+40%暴击率。,此物品免疫冻结、减速和摧毁。,造成25伤害
16e3ebba-d530-489c-8439-3b47a4182c09,Katana,武士刀,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 瓦内莎,Weapon / 武器,Damage / 伤害,1100,99999,0,0,0,0,Deal 99999 Damage,造成99999伤害,,,,,,,,,,,,,,,,
1059a4b7-9739-478c-ac00-66a270b43250,Grater,刨丝器,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Jules / 朱尔斯,Weapon / 武器 | Tool / 工具,Damage / 伤害 | Crit / 暴击,6000,5,0,0,0,0,Deal 5 Damage,造成5伤害,A Food gains +5/10/15% Crit Chance for the fight,一件食物的暴击率提高+5/10/15%（限本场战斗）,,,此物品的价值翻倍。,减速一件物品1秒,冻结一件物品500秒,加速一件物品1秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
c0455f22-2fb9-4ce6-a65f-e874e3d86ff0,Hot Sauce,辣酱,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Jules / 朱尔斯,Food / 食物,Burn / 灼烧,8000,0,0,0,0,0,Burn 2,造成2灼烧,"For each adjacent Food, this has +1 Multicast.",每有一份相邻食物，此物品就+1多重触发。,,,此物品的价值翻倍。,减速一件物品1秒,冻结一件物品500秒,加速一件物品1秒,获得护盾，等量于此物品灼烧的5倍,获得治疗，等量于此物品灼烧的5倍,造成剧毒，等量于此物品灼烧,此物品的灼烧翻倍。,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品灼烧的5倍
430ed105-2d64-4f3b-afd1-73ed0db39217,Rowboat,划艇,Item / 物品,Medium / 中型,Gold / 黄金,Gold/Diamond,Vanessa / 瓦内莎,Aquatic / 水产 | Vehicle / 载具,Charge / 充能 | CooldownReference,8000,0,0,0,0,0,Charge adjacent items 1/2 second(s),为相邻物品充能1/2秒,"If you have 5 or more unique Types, this item's Cooldown is reduced by 5000 seconds.",如果拥有的类型不少于5个，此物品的冷却时间就缩短5000秒。,,,此物品的价值翻倍。,减速一件物品1秒,冻结一件物品500秒,加速一件物品1秒,每拥有一个独特类型，就获得10护盾,每拥有一个独特类型，就治疗10生命值,每拥有一个独特类型，就造成1剧毒,每拥有一个独特类型，就造成1灼烧,此物品+1多重触发。,每拥有一个独特类型，己方物品+5%暴击率。[{aura.e1}],此物品免疫冻结、减速和摧毁。,每拥有一个独特类型，就造成10伤害
f80077ce-aeaf-44ae-9d41-644774682081,Hover Tech,悬浮科技,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利,Tech / 科技,Flying / 飞行 | Crit / 暴击,4000,0,0,0,0,0,3/4/5 other items start Flying,使3/4/5件其他物品开始飞行,"When you Crit with a Flying item, it stops Flying.",使用飞行物品造成暴击时，使其停止飞行。,Your Flying items have +50/75/100% Crit Chance.,飞行物品+50/75/100%暴击率。,此物品的价值翻倍。,使用飞行物品造成暴击时，减速2件物品1秒。,使用飞行物品造成暴击时，冻结一件物品1秒。,使用飞行物品造成暴击时，加速2件物品1秒。,使用飞行物品造成暴击时，获得40护盾。,使用飞行物品造成暴击时，获得40治疗。,使用飞行物品造成暴击时，造成4剧毒,使用飞行物品造成暴击时，造成4灼烧,此物品的暴击率加成翻倍。,此物品的暴击率加成翻倍。,相邻物品受到的冻结和减速效果时长减半。,使用飞行物品造成暴击时，造成40伤害
c6ab4982-da6c-4a1a-934d-820c45014646,Electric Eels,电鳗,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Vanessa / 瓦内莎,Aquatic / 水产 | Weapon / 武器 | Friend / 伙伴,Damage / 伤害 | Slow / 减速,7000,100,0,0,0,0,Deal 100 Damage,造成100伤害,Slow an item for 1 second(s),减速一件物品1秒,"When an enemy uses an item, Charge this 2 second(s).",敌人使用物品时，为此物品充能2秒。,,此物品的减速持续时间翻倍。,冻结一件物品1秒,加速2件物品1秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
20d85338-b625-4b9a-95a7-8a60805e061f,Anchor,船锚,Item / 物品,Medium / 中型,Gold / 黄金,Gold/Diamond,Vanessa / 瓦内莎,Aquatic / 水产 | Weapon / 武器 | Tool / 工具,Damage / 伤害 | Haste / 加速,12000,0,0,0,0,0,Deal Damage equal to 20/30% of an enemy's Max Health,造成伤害，等量于一位敌人最大生命值的20/30%,"When you use an adjacent item, this is Hasted for 2 second(s).",使用相邻物品时，加速此物品2秒。,,,此物品的价值翻倍。,减速2件物品3秒,冻结2件物品1秒,加速2件物品3秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
124862bc-eb77-4835-9e3b-68a4c3e4490e,Grill,烧烤架,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯,Tool / 工具,Burn / 灼烧,0,0,0,0,0,0,"When you use a Food, Burn 4",使用食物时，造成4灼烧,"When you use a Heated Food, this gains +1/2 Burn for the fight.",使用高温食物时，此物品的灼烧提高+1/2（限本场战斗）。,The item to the left is Heated.,此物品左侧的物品获得高温效果。,此物品的价值翻倍。,使用食物时，减速一件物品1秒。,使用食物时，冻结一件物品500秒。,使用食物时，加速一件物品1秒。,使用食物时，获得护盾，等量于此物品灼烧的5倍,使用食物时，获得治疗，等量于此物品灼烧的5倍,使用食物时，造成剧毒，等量于此物品灼烧,此物品的灼烧翻倍。,相邻食物+1多重触发。,食物的暴击率+50%。,食物受到的冻结和减速效果时长减半。,使用食物时，造成伤害，等量于此物品灼烧5倍
5bd6513a-85ab-4ba6-b82d-af875da697cf,Remote Control,遥控装置,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利,Tech / 科技,,7000,0,0,0,0,0,Use all of your Medium size Cores,使用己方所有中型核心物品,,,,,此物品的价值翻倍。,减速一件物品3秒,冻结一件物品500秒,加速一件物品3秒,获得80护盾,治疗80生命值,造成8剧毒,造成8灼烧,此物品+1多重触发。,核心+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成80伤害
9b0c1d2e-3f4a-5b6c-7d8e-9f0a1b2c3d4e,Eternal Torch,永恒火炬,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Mak / 马克,Relic / 遗物,Burn / 灼烧 | Quest,5000,0,0,0,0,0,Burn 2/4/6/8,造成2/4/6/8灼烧,,,,,此物品的价值翻倍。,减速一件物品1秒,冻结一件物品500秒,加速一件物品1秒,获得护盾，等量于此物品灼烧的5倍,获得治疗，等量于此物品灼烧的5倍,造成剧毒，等量于此物品灼烧,此物品的灼烧翻倍。,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品灼烧的5倍
5abf3441-11cb-4dbd-8d69-d4829f8df687,Star Chart,星图,Item / 物品,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 瓦内莎,Tool / 工具 | Relic / 遗物,Cooldown / 冷却 | Crit / 暴击,0,0,0,0,0,0,Adjacent items have +10/15/20/25% Crit Chance.,相邻物品+10/15/20/25%暴击率。,Adjacent items' Cooldowns are reduced by 5/10/15/20%.,相邻物品的冷却时间缩短5/10/15/20%。,,,此物品的价值翻倍。,使用相邻物品造成暴击时，减速一件物品2秒。,使用相邻物品造成暴击时，冻结一件物品1秒。,使用相邻物品造成暴击时，加速一件物品2秒。,使用相邻物品造成暴击时，获得40护盾。,使用相邻物品造成暴击时，获得40治疗。,使用相邻物品造成暴击时，造成4剧毒。,使用相邻物品造成暴击时，造成4灼烧。,此物品的暴击率加成翻倍。,此物品的暴击率加成翻倍。,相邻物品受到的冻结和减速效果时长减半。,使用相邻物品造成暴击时，造成40伤害。
df089fce-2f5a-495f-86ce-11b06e1474d5,Azakan Stew,阿扎坎乱炖,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Jules / 朱尔斯,Food / 食物,Burn / 灼烧 | Regen / 再生 | Shield / 护盾 | BurnRef / 灼烧引用 | RegenRef / 再生引用 | ShieldRef / 护盾引用 | FreezeRef / 冻结引用,8000,0,0,30,0,0,Shield 30,获得30护盾,Gain 3 Regen for the fight,生命再生量提高3（限本场战斗）,Heated: Burn 3,高温时：造成3灼烧,此物品的价值翻倍。,减速1件物品1秒,冻结一件物品500秒,加速1件物品1秒,此物品的护盾值翻倍。,获得治疗，等量于此物品护盾值,造成剧毒，等量于此物品生命再生量,此物品的灼烧翻倍。,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品护盾
af085ed1-25e7-49a6-b72f-9bf8e4779132,GPU,GPU,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Dooley / 杜利,Tech / 科技,Haste / 加速,4000,0,0,0,0,0,Haste Your Core for 1/2/3/4 second(s),加速核心1/2/3/4秒,,,,,此物品的价值翻倍。,减速一件物品2秒,冻结一件物品500秒,此物品的加速持续时间翻倍。,获得40护盾,治疗40生命值,造成4剧毒,造成4灼烧,此物品+1多重触发。,核心+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成40伤害
da0ac18a-ddcc-441f-8f90-c3b17db1b28a,Cellar,地窖,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Mak / 马克,Property / 地产,Regen / 再生 | AmmoRef / 弹药引用,3000,0,0,0,0,0,Reload an item,装填一件物品,Gain 2/4/6 Regen for the fight,生命再生量提高2/4/6（限本场战斗）,"At the start of each day, upgrade a Potion of a lower tier and get a Catalyst.",每天开始时，升级一瓶低级别药水，并获得一份催化剂。,此物品的价值翻倍。,减速2件物品1秒,冻结一件物品1秒,加速2件物品1秒,获得护盾，等量于此物品生命再生量的5倍,获得治疗，等量于此物品生命再生量的5倍,造成剧毒，等量于此物品生命再生量,造成灼烧，等量于此物品的生命再生量,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,造成伤害，等量于此物品生命再生的5倍
acaebb2b-fe63-4de0-9d9e-949673c08a47,Igloo,冰屋,Item / 物品,Large / 大型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁,Property / 地产,Freeze / 冻结 | Shield / 护盾,7000,0,0,50,0,0,Freeze 1/2/3 item(s) for 1 second(s),冻结1/2/3件物品1秒,"When you Freeze, Shield 50/75/100.",触发冻结时，获得50/75/100护盾。,"The first time you fall below half Health each fight, use this.",每场战斗己方生命值首次降至一半时，使用此物品。,此物品的价值翻倍。,触发冻结时，减速一件物品1秒。,此物品的冻结持续时间翻倍。,触发冻结时，加速一件物品1秒。,此物品的护盾值翻倍。,触发冻结时，获得治疗，等量于此物品护盾值。,触发冻结时，造成剧毒，等量于此物品护盾的5%。,触发冻结时，造成灼烧，等量此物品护盾的5%。,此物品+1多重触发。,己方物品+30%暴击率。,此物品免疫冻结、减速和摧毁。,触发冻结时，造成伤害，等量于此物品护盾。
1d8d4dea-aaf9-4041-aa54-ae133f552d55,Blue Piggles R,蓝色小圆猪 R,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁,Toy / 玩具,Crit / 暴击,4000,0,0,0,0,0,The item to the right of this gains 4/8/12/16% Crit Chance for the fight,此物品右侧的物品暴击率提高4/8/12/16%（限本场战斗）,,,,,,减速一件物品2秒,冻结一件物品500秒,加速此物品右侧的物品2秒,获得30护盾,治疗30生命值,造成3剧毒,造成3灼烧,此物品+1多重触发。,此物品的暴击率加成翻倍。,此物品免疫冻结、减速和摧毁。,造成30伤害
57118705-887e-44fb-b4bc-586aa4f20baf,Sponsored Apparel,赞助服饰,Item / 物品,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁,Apparel / 服饰,Shield / 护盾 | Value / 价值 | EconomyRef / 经济引用,0,0,0,0,0,0,"When you use an item, it gains +1/2/3 value for the fight then Shield equal to that item's value.",使用物品时，使其价值在本场战斗中提高+1/2/3，随后获得护盾，等量于其价值。,,,,,,使用物品时，减速一件物品1秒。,使用物品时，冻结一件物品500秒。,使用物品时，加速一件物品1秒。,此物品的护盾值翻倍。,使用物品时，获得20治疗。,使用物品时，造成2剧毒。,使用物品时，造成2灼烧。,此物品的价值增益翻倍。,己方物品+25%暴击率。,相邻物品受到的冻结和减速效果时长减半。,使用物品时，造成20伤害。
793b64b2-20a8-42ca-a592-54c9c3f814f8,Colossal Popsicle,巨型冰棒,Item / 物品,Large / 大型,Silver / 白银,Silver/Gold/Diamond,Common / 通用,Weapon / 武器 | Food / 食物,Damage / 伤害 | Freeze / 冻结,9000,50,0,0,0,0,Deal 50/100/200 Damage,造成50/100/200伤害,Freeze 2 items for 1/2/3 second(s),冻结2件物品1/2/3秒,"When you sell this, gain 2 Icicles.",出售此物品时，获得2个冰锥。,此物品的价值翻倍。,减速3件物品3秒,此物品的冻结持续时间翻倍。,加速3件物品3秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
5b6c7d8e-9f0a-1b2c-3d4e-5f6a7b8c9d0e,Makroscope,马克显微镜,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Mak / 马克,Tool / 工具,Slow / 减速,7000,0,0,0,0,0,Slow an item for 1 second(s),减速一件物品1秒,"If you have another Relic, Quest, Friend, or Enchanted item this has +1 Multicast for each.",每拥有另一件遗物、任务、伙伴或附魔物品，此物品就+1多重触发。,,,此物品的价值翻倍。,此物品的减速持续时间翻倍。,冻结一件物品500秒,加速一件物品1秒,获得10护盾,治疗10生命值,造成1剧毒,造成1灼烧,此物品+1多重触发。,己方物品+20%暴击率。,此物品免疫冻结、减速和摧毁。,造成10伤害
74d0780a-4d98-478e-b136-f1810bc88346,Forklift,叉车,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Dooley / 杜利,Vehicle / 载具 | Tool / 工具 | Weapon / 武器,TechReference | Damage / 伤害,12000,50,0,0,0,0,Deal 50 Damage,造成50伤害,"When you use an adjacent item, Charge this 1/2 second(s).",使用相邻物品时，为此物品充能1/2秒。,"If you have another Tool, Apparel, Tech, Weapon, Ray, Relic, Property, Vehicle or Friend, this has +150/300 Damage for each.",每拥有另一件工具、服饰、科技、武器、射线、遗物、地产、载具或伙伴，此物品就+150/300伤害。,此物品的价值翻倍。,减速3件物品3秒,冻结一件物品4秒,加速3件物品3秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的5%,造成灼烧，等量于此物品伤害的5%,此物品+1多重触发。,此物品+50%暴击率。,此物品免疫冻结、减速和摧毁。,此物品的伤害翻倍。
ebc4187f-76b5-4f09-bcdf-7a430579e193,Yeti Claw,,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,Damage / 伤害,6000,7,0,0,0,0,,,,,,,,,,,,,,,,,,
